patient,full_rows,bounded_rows,maximum_absolute_class_fraction_error,maximum_absolute_standardized_feature_mean_error
1,544467,20000,2.42390264240111e-05,0.011658174529603388
2,272312,20000,2.754046828634671e-05,0.013599951635441634
3,586479,20000,1.853502000924087e-05,0.015778123777328998
4,624492,20000,2.6233162314315273e-05,0.009880033500385431
5,1000153,20000,2.0534058289056745e-05,0.010452307824916103
6,980951,20000,2.0125317166707138e-05,0.009556210603813755
7,975948,20000,2.9863476332755122e-05,0.01339681133306105
8,989002,20000,2.8364654469870132e-05,0.029624611579229937
9,507725,20000,2.4004136097297707e-05,0.02308464316919574
10,530434,20000,3.385435322773422e-05,0.01631802514484262
11,1000121,20000,2.7914472348844477e-05,0.007267354394569878
12,503554,20000,1.1132867577264005e-05,0.011964315260395203
13,417481,20000,2.4439555333058416e-05,0.014816077627030853
14,333024,20000,2.6117036609974052e-05,0.021961631438744866
15,921621,20000,2.7147113618288324e-05,0.016929946227450574
16,253638,20000,1.750132078000982e-05,0.011325306720103899
17,1000201,20000,2.480416436296401e-05,0.014126313489890642
18,979314,20000,2.402457230265241e-05,0.00913527196501541
19,437266,20000,2.3580154871361003e-05,0.017710650379141882
20,507340,20000,2.1157409232467386e-05,0.015029721818327286
21,1000124,20000,3.021445340778417e-05,0.016327067521065948
22,1000044,20000,2.3723156181154614e-05,0.0091154576338984
23,545184,20000,2.2906028056587924e-05,0.010318096452929722
24,1000057,20000,1.7380559308119783e-05,0.014141715149740879
25,1000012,20000,2.5552093374882345e-05,0.010790425500875415
26,314650,20000,2.819799777530746e-05,0.008823362022702248
27,209983,20000,2.5448726801692578e-05,0.00907594001207481
28,819240,20000,2.3106781895414902e-05,0.010630840408601376
29,1000035,20000,2.579609713660065e-05,0.008753982947193435
30,1000014,20000,2.928479001294837e-05,0.012367007849915682
